"grass_date","is_cb_shop","shipping_channel_id","orders","gmv"
"2021-07-08","1","108001","139.0","830.9438982924"
"2022-05-08","1","108004","15.0","147.8690219289"
"2021-05-30","1","108001","12.0","126.0816335416"
"2021-11-10","0","100004","1718.0","10842.3026001213"
"2022-05-08","0","100009","115.0","358.7338772129"
"2021-10-16","1","108005","1.0","21.6496500339"
"2021-12-14","1","100001","66812.99999999999","297436.6392998157"
"2022-01-19","0","100007","9911.0","41323.7404938688"
"2022-03-06","1","100001","56652.00000000003","336671.5090040619"
"2021-07-15","1","100001","34912.00000000001","141071.2881463777"
"2021-10-05","1","100001","46527.999999999956","231396.7992280743"
"2021-10-10","1","108002","1339.0","15283.5119990413"
"2021-11-11","0","100003","30970.999999999993","163299.7601611988"
"2022-03-31","0","100008","6.0","46.2760621434"
"2022-03-12","1","100007","1.0","10.7545658780"
"2021-12-19","0","100007","4278.999999999999","19687.7394097965"
"2022-02-04","1","108001","1590.0","6756.8535571806"
"2022-01-27","1","108001","1902.0000000000002","7140.7841733299"
"2021-04-05","1","100001","11011.999999999998","46948.3084780683"
"2021-11-18","0","100007","1017.0","3089.8614933925"
"2021-09-02","0","100003","404.0","3634.0065111183"
"2021-10-06","1","108001","431.0","1632.2995495627"
"2021-10-03","0","100003","2613.9999999999995","15856.2803016869"
"2022-05-03","1","100003","274.0","2111.0609033709"
"2021-05-07","1","108001","7.0","61.6236181751"
"2021-12-19","0","100004","671.9999999999999","3942.3183926033"
"2021-10-29","1","108001","915.0000000000001","2444.0301386452"
"2021-12-07","0","100009","594.0000000000001","1272.5092612964"
"2022-03-19","1","108002","562.0","10453.3378538521"
"2021-11-18","0","100004","1377.0000000000002","8254.2173399432"
"2021-11-06","1","108001","1002.0000000000001","3058.0768885655"
"2021-12-07","1","108004","4.0","121.2199883218"
"2021-06-07","1","108001","46.0","560.7231334742"
"2022-05-15","1","108005","167.0","6173.9519326805"
"2021-05-06","1","100001","17640.000000000004","76581.4002192112"
"2022-01-20","0","100008","41.0","189.6248094101"
"2022-04-07","1","108004","12.0","203.9927671274"
"2022-03-14","1","100001","68078.00000000001","373761.2341016125"
"2022-03-07","1","108001","2187.0","7851.3020685387"
"2022-02-09","0","100003","20978.0","115787.7514895858"
"2021-10-10","0","100004","2148.0","12448.5806115392"
"2022-05-10","0","10100","8.0","21.0194676444"
"2021-10-18","0","100004","956.0000000000001","6052.0544902622"
"2021-09-17","1","108002","393.0","6896.1022814885"
"2021-09-04","1","100001","42901.000000000015","196593.1227066568"
"2022-04-07","0","100009","303.99999999999994","1251.6547539459"
"2021-11-10","0","100007","1243.9999999999998","3853.9641016285"
"2021-09-10","0","100003","1019.0","9009.8190253282"
"2022-02-16","1","108002","560.0","11001.7536224168"
"2022-02-27","1","108004","19.0","458.0240176275"
"2022-03-25","1","100003","4.0","25.2167560653"
"2021-10-29","1","108004","2.0","54.4577317208"
"2021-04-29","1","108001","6.0","40.9321347536"
"2021-06-18","1","108003","1.0","0.0000000000"
"2022-03-12","0","100003","20506.000000000004","111522.3264787606"
"2021-10-11","0","100003","3283.0","14772.6078873400"
"2021-08-09","1","108002","103.0","1627.3499213308"
"2021-09-09","1","108002","574.0","9078.3347819778"
"2022-04-19","0","100007","32993.99999999998","97000.3208169141"
"2022-01-14","1","108005","27.0","859.4546961704"
"2021-10-13","1","100001","43958.99999999989","219349.2931531987"
"2021-06-14","1","100001","33767.99999999999","129535.9036368069"
"2021-09-28","1","108001","356.0","1464.7106872900"
"2022-02-27","1","108001","1921.0","8188.3371546088"
"2022-01-28","0","100008","22.999999999999996","91.1563580945"
"2021-11-06","1","108004","2.0","35.8034723152"
"2022-03-27","0","100007","12389.0","59803.8205128732"
"2022-03-23","0","100009","318.0","1207.3949769991"
"2021-08-25","1","108002","388.0","7429.8536465006"
"2022-04-22","1","108005","88.0","3327.4398852475"
"2022-05-04","0","100011","3786.9999999999995","12695.2901630002"
"2021-12-24","1","108002","257.0","4668.5185965742"
"2021-12-30","1","108005","24.0","758.0131078726"
"2022-04-18","1","100003","269.0","1643.5708097066"
"2021-04-14","1","108001","3.0","27.4385042711"
"2022-02-19","1","100001","55729.0","306789.1846643152"
"2022-01-12","1","108001","1990.0000000000002","7503.5806090156"
"2022-05-18","1","100007","165.0","1025.6361248567"
"2021-11-03","0","100007","78.0","240.2021972718"
"2022-03-15","0","100009","1191.0000000000002","2751.4338930105"
"2021-09-18","0","100003","1185.0","9276.8171204913"
"2022-04-23","0","100009","468.0","2068.3918250390"
"2021-08-18","0","100003","30.0","572.1599429126"
"2021-08-25","0","100004","66.0","930.0640913477"
"2021-03-13","1","100001","1574.0","8552.3661218227"
"2022-01-24","1","108002","786.0","14217.0370798681"
"2022-02-12","0","100009","441.0","1130.6398975419"
"2022-04-10","1","100003","6.0","34.2315253613"
"2022-03-23","1","108004","12.0","241.5485317708"
"2022-02-25","0","100003","21058.99999999999","113321.6662184962"
"2022-01-17","0","100003","43624.00000000001","172761.3499027616"
"2021-09-20","1","100001","46641.99999999998","221836.9431471667"
"2021-09-13","1","108001","225.0","1352.5650628541"
"2021-09-25","0","100004","475.9999999999999","3291.6641839627"
"2022-04-17","1","100007","28.0","236.3507255101"
"2021-12-22","1","108005","12.0","334.5939750007"
"2022-04-04","0","100007","37331.999999999985","123493.3756347607"
"2022-01-19","1","100001","67433.00000000004","336445.4193902645"
"2021-08-12","1","100001","65107.999999999905","273559.6501715433"
"2022-02-20","1","108001","1565.9999999999998","6547.8644851185"
"2021-11-03","0","100004","1273.9999999999998","7723.6648747383"
"2022-04-11","0","100011","136.0","249.1507542820"
"2022-05-06","0","100008","16.0","47.3172657918"
"2022-03-10","1","100003","11.0","41.2017731383"
"2022-05-12","0","100011","5840.000000000001","18782.3349069917"
"2021-04-21","1","100001","13327.0","62482.5528958925"
"2022-02-24","0","100007","11660.000000000002","53315.7857389571"
"2022-03-15","1","108004","12.0","305.9673992279"
